# Generated with ADRIA.jl v0.15.1 on 2026-07-09_12_05_02_898
component,fieldname,val,ptype,dist,dist_params,default_dist_params,direction,lower_bound,upper_bound,is_constant,name,description
Coral,corymbose_Acropora_2_1_dist_mean,4.04999,continuous,Distributions.TriangularDist,"(3.644991, 4.454989, 4.04999)","(3.644991, 4.454989, 4.04999)",,3.644991,4.454989,false,Corymbose Acropora 2 1 Dist Mean,
Coral,corymbose_Acropora_2_1_dist_std,3.159922076,continuous,Distributions.TriangularDist,"(2.8439298684, 3.4759142836000003, 3.159922076)","(2.8439298684, 3.4759142836000003, 3.159922076)",,2.8439298684,3.4759142836000003,false,Corymbose Acropora 2 1 Dist Std,
Coral,corymbose_Acropora_2_2_mean_colony_diameter_m,0.1,continuous,Distributions.TriangularDist,"(0.09000000000000001, 0.11000000000000001, 0.1)","(0.09000000000000001, 0.11000000000000001, 0.1)",,0.09000000000000001,0.11000000000000001,false,Corymbose Acropora 2 2 Mean Colony Diameter M,
Coral,corymbose_Acropora_2_2_linear_extension,0.0314565,continuous,Distributions.TriangularDist,"(0.02831085, 0.03460215, 0.0314565)","(0.02831085, 0.03460215, 0.0314565)",,0.02831085,0.03460215,false,Corymbose Acropora 2 2 Linear Extension,
Coral,corymbose_Acropora_2_2_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Corymbose Acropora 2 2 Fecundity,
Coral,corymbose_Acropora_2_2_mb_rate,0.118862,continuous,Distributions.TriangularDist,"(0.1069758, 0.1307482, 0.118862)","(0.1069758, 0.1307482, 0.118862)",,0.1069758,0.1307482,false,Corymbose Acropora 2 2 Mb Rate,
Coral,corymbose_Acropora_2_2_dist_mean,3.90801,continuous,Distributions.TriangularDist,"(3.5172090000000003, 4.298811000000001, 3.90801)","(3.5172090000000003, 4.298811000000001, 3.90801)",,3.5172090000000003,4.298811000000001,false,Corymbose Acropora 2 2 Dist Mean,
Coral,corymbose_Acropora_2_2_dist_std,3.159922076,continuous,Distributions.TriangularDist,"(2.8439298684, 3.4759142836000003, 3.159922076)","(2.8439298684, 3.4759142836000003, 3.159922076)",,2.8439298684,3.4759142836000003,false,Corymbose Acropora 2 2 Dist Std,
Coral,corymbose_Acropora_2_3_mean_colony_diameter_m,0.1625,continuous,Distributions.TriangularDist,"(0.14625000000000002, 0.17875000000000002, 0.1625)","(0.14625000000000002, 0.17875000000000002, 0.1625)",,0.14625000000000002,0.17875000000000002,false,Corymbose Acropora 2 3 Mean Colony Diameter M,
Coral,corymbose_Acropora_2_3_linear_extension,0.0305842,continuous,Distributions.TriangularDist,"(0.02752578, 0.03364262, 0.0305842)","(0.02752578, 0.03364262, 0.0305842)",,0.02752578,0.03364262,false,Corymbose Acropora 2 3 Linear Extension,
Coral,corymbose_Acropora_2_3_fecundity,220661.48431970974,continuous,Distributions.TriangularDist,"(198595.33588773877, 242727.63275168074, 220661.48431970974)","(198595.33588773877, 242727.63275168074, 220661.48431970974)",,198595.33588773877,242727.63275168074,false,Corymbose Acropora 2 3 Fecundity,
Coral,corymbose_Acropora_2_3_mb_rate,0.0851508,continuous,Distributions.TriangularDist,"(0.07663572, 0.09366588, 0.0851508)","(0.07663572, 0.09366588, 0.0851508)",,0.07663572,0.09366588,false,Corymbose Acropora 2 3 Mb Rate,
Coral,corymbose_Acropora_2_3_dist_mean,3.96954,continuous,Distributions.TriangularDist,"(3.572586, 4.366494, 3.96954)","(3.572586, 4.366494, 3.96954)",,3.572586,4.366494,false,Corymbose Acropora 2 3 Dist Mean,
Coral,corymbose_Acropora_2_3_dist_std,3.159922076,continuous,Distributions.TriangularDist,"(2.8439298684, 3.4759142836000003, 3.159922076)","(2.8439298684, 3.4759142836000003, 3.159922076)",,2.8439298684,3.4759142836000003,false,Corymbose Acropora 2 3 Dist Std,
Coral,corymbose_Acropora_2_4_mean_colony_diameter_m,0.25,continuous,Distributions.TriangularDist,"(0.225, 0.275, 0.25)","(0.225, 0.275, 0.25)",,0.225,0.275,false,Corymbose Acropora 2 4 Mean Colony Diameter M,
Coral,corymbose_Acropora_2_4_linear_extension,0.0312019,continuous,Distributions.TriangularDist,"(0.028081710000000003, 0.034322090000000006, 0.0312019)","(0.028081710000000003, 0.034322090000000006, 0.0312019)",,0.028081710000000003,0.034322090000000006,false,Corymbose Acropora 2 4 Linear Extension,
Coral,corymbose_Acropora_2_4_fecundity,230374.92113260244,continuous,Distributions.TriangularDist,"(207337.4290193422, 253412.4132458627, 230374.92113260244)","(207337.4290193422, 253412.4132458627, 230374.92113260244)",,207337.4290193422,253412.4132458627,false,Corymbose Acropora 2 4 Fecundity,
Coral,corymbose_Acropora_2_4_mb_rate,0.121045,continuous,Distributions.TriangularDist,"(0.1089405, 0.1331495, 0.121045)","(0.1089405, 0.1331495, 0.121045)",,0.1089405,0.1331495,false,Corymbose Acropora 2 4 Mb Rate,
Coral,corymbose_Acropora_2_4_dist_mean,3.55288,continuous,Distributions.TriangularDist,"(3.197592, 3.9081680000000003, 3.55288)","(3.197592, 3.9081680000000003, 3.55288)",,3.197592,3.9081680000000003,false,Corymbose Acropora 2 4 Dist Mean,
Coral,corymbose_Acropora_2_4_dist_std,3.159922076,continuous,Distributions.TriangularDist,"(2.8439298684, 3.4759142836000003, 3.159922076)","(2.8439298684, 3.4759142836000003, 3.159922076)",,2.8439298684,3.4759142836000003,false,Corymbose Acropora 2 4 Dist Std,
Coral,corymbose_Acropora_2_5_mean_colony_diameter_m,0.45,continuous,Distributions.TriangularDist,"(0.405, 0.49500000000000005, 0.45)","(0.405, 0.49500000000000005, 0.45)",,0.405,0.49500000000000005,false,Corymbose Acropora 2 5 Mean Colony Diameter M,
Coral,corymbose_Acropora_2_5_linear_extension,0.0343453,continuous,Distributions.TriangularDist,"(0.030910770000000004, 0.03777983000000001, 0.0343453)","(0.030910770000000004, 0.03777983000000001, 0.0343453)",,0.030910770000000004,0.03777983000000001,false,Corymbose Acropora 2 5 Linear Extension,
Coral,corymbose_Acropora_2_5_fecundity,244321.92980976173,continuous,Distributions.TriangularDist,"(219889.73682878556, 268754.12279073795, 244321.92980976173)","(219889.73682878556, 268754.12279073795, 244321.92980976173)",,219889.73682878556,268754.12279073795,false,Corymbose Acropora 2 5 Fecundity,
Coral,corymbose_Acropora_2_5_mb_rate,0.100549,continuous,Distributions.TriangularDist,"(0.09049410000000001, 0.1106039, 0.100549)","(0.09049410000000001, 0.1106039, 0.100549)",,0.09049410000000001,0.1106039,false,Corymbose Acropora 2 5 Mb Rate,
Coral,corymbose_Acropora_2_5_dist_mean,3.87375,continuous,Distributions.TriangularDist,"(3.486375, 4.261125, 3.87375)","(3.486375, 4.261125, 3.87375)",,3.486375,4.261125,false,Corymbose Acropora 2 5 Dist Mean,
Coral,corymbose_Acropora_2_5_dist_std,3.159922076,continuous,Distributions.TriangularDist,"(2.8439298684, 3.4759142836000003, 3.159922076)","(2.8439298684, 3.4759142836000003, 3.159922076)",,2.8439298684,3.4759142836000003,false,Corymbose Acropora 2 5 Dist Std,
Coral,corymbose_Acropora_2_6_mean_colony_diameter_m,0.8,continuous,Distributions.TriangularDist,"(0.7200000000000001, 0.8800000000000001, 0.8)","(0.7200000000000001, 0.8800000000000001, 0.8)",,0.7200000000000001,0.8800000000000001,false,Corymbose Acropora 2 6 Mean Colony Diameter M,
Coral,corymbose_Acropora_2_6_linear_extension,0.0392649,continuous,Distributions.TriangularDist,"(0.03533841, 0.04319139, 0.0392649)","(0.03533841, 0.04319139, 0.0392649)",,0.03533841,0.04319139,false,Corymbose Acropora 2 6 Linear Extension,
Coral,corymbose_Acropora_2_6_fecundity,258791.61294555428,continuous,Distributions.TriangularDist,"(232912.45165099885, 284670.7742401097, 258791.61294555428)","(232912.45165099885, 284670.7742401097, 258791.61294555428)",,232912.45165099885,284670.7742401097,false,Corymbose Acropora 2 6 Fecundity,
Coral,corymbose_Acropora_2_6_mb_rate,0.108431,continuous,Distributions.TriangularDist,"(0.0975879, 0.11927410000000001, 0.108431)","(0.0975879, 0.11927410000000001, 0.108431)",,0.0975879,0.11927410000000001,false,Corymbose Acropora 2 6 Mb Rate,
Coral,corymbose_Acropora_2_6_dist_mean,3.79475,continuous,Distributions.TriangularDist,"(3.4152750000000003, 4.174225000000001, 3.79475)","(3.4152750000000003, 4.174225000000001, 3.79475)",,3.4152750000000003,4.174225000000001,false,Corymbose Acropora 2 6 Dist Mean,
Coral,corymbose_Acropora_2_6_dist_std,3.159922076,continuous,Distributions.TriangularDist,"(2.8439298684, 3.4759142836000003, 3.159922076)","(2.8439298684, 3.4759142836000003, 3.159922076)",,2.8439298684,3.4759142836000003,false,Corymbose Acropora 2 6 Dist Std,
Coral,corymbose_Acropora_2_7_mean_colony_diameter_m,1.25,continuous,Distributions.TriangularDist,"(1.125, 1.375, 1.25)","(1.125, 1.375, 1.25)",,1.125,1.375,false,Corymbose Acropora 2 7 Mean Colony Diameter M,
Coral,corymbose_Acropora_2_7_linear_extension,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Corymbose Acropora 2 7 Linear Extension,
Coral,corymbose_Acropora_2_7_fecundity,270602.7463747632,continuous,Distributions.TriangularDist,"(243542.4717372869, 297663.02101223957, 270602.7463747632)","(243542.4717372869, 297663.02101223957, 270602.7463747632)",,243542.4717372869,297663.02101223957,false,Corymbose Acropora 2 7 Fecundity,
Coral,corymbose_Acropora_2_7_mb_rate,0.118181,continuous,Distributions.TriangularDist,"(0.1063629, 0.1299991, 0.118181)","(0.1063629, 0.1299991, 0.118181)",,0.1063629,0.1299991,false,Corymbose Acropora 2 7 Mb Rate,
Coral,corymbose_Acropora_2_7_dist_mean,3.77829,continuous,Distributions.TriangularDist,"(3.4004610000000004, 4.156119, 3.77829)","(3.4004610000000004, 4.156119, 3.77829)",,3.4004610000000004,4.156119,false,Corymbose Acropora 2 7 Dist Mean,
Coral,corymbose_Acropora_2_7_dist_std,3.159922076,continuous,Distributions.TriangularDist,"(2.8439298684, 3.4759142836000003, 3.159922076)","(2.8439298684, 3.4759142836000003, 3.159922076)",,2.8439298684,3.4759142836000003,false,Corymbose Acropora 2 7 Dist Std,
Coral,corymbose_non_Acropora_3_1_mean_colony_diameter_m,0.05,continuous,Distributions.TriangularDist,"(0.045000000000000005, 0.05500000000000001, 0.05)","(0.045000000000000005, 0.05500000000000001, 0.05)",,0.045000000000000005,0.05500000000000001,false,Corymbose Non Acropora 3 1 Mean Colony Diameter M,
Coral,corymbose_non_Acropora_3_1_linear_extension,0.0192487,continuous,Distributions.TriangularDist,"(0.017323830000000002, 0.021173570000000003, 0.0192487)","(0.017323830000000002, 0.021173570000000003, 0.0192487)",,0.017323830000000002,0.021173570000000003,false,Corymbose Non Acropora 3 1 Linear Extension,
Coral,corymbose_non_Acropora_3_1_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Corymbose Non Acropora 3 1 Fecundity,
Coral,corymbose_non_Acropora_3_1_mb_rate,0.197234,continuous,Distributions.TriangularDist,"(0.1775106, 0.21695740000000002, 0.197234)","(0.1775106, 0.21695740000000002, 0.197234)",,0.1775106,0.21695740000000002,false,Corymbose Non Acropora 3 1 Mb Rate,
Coral,corymbose_non_Acropora_3_1_dist_mean,3.947,continuous,Distributions.TriangularDist,"(3.5523000000000002, 4.3417, 3.947)","(3.5523000000000002, 4.3417, 3.947)",,3.5523000000000002,4.3417,false,Corymbose Non Acropora 3 1 Dist Mean,
Coral,corymbose_non_Acropora_3_1_dist_std,3.474118416,continuous,Distributions.TriangularDist,"(3.1267065744, 3.8215302576000005, 3.474118416)","(3.1267065744, 3.8215302576000005, 3.474118416)",,3.1267065744,3.8215302576000005,false,Corymbose Non Acropora 3 1 Dist Std,
Coral,corymbose_non_Acropora_3_2_mean_colony_diameter_m,0.1,continuous,Distributions.TriangularDist,"(0.09000000000000001, 0.11000000000000001, 0.1)","(0.09000000000000001, 0.11000000000000001, 0.1)",,0.09000000000000001,0.11000000000000001,false,Corymbose Non Acropora 3 2 Mean Colony Diameter M,
Coral,corymbose_non_Acropora_3_2_linear_extension,0.0183389,continuous,Distributions.TriangularDist,"(0.01650501, 0.020172790000000003, 0.0183389)","(0.01650501, 0.020172790000000003, 0.0183389)",,0.01650501,0.020172790000000003,false,Corymbose Non Acropora 3 2 Linear Extension,
Coral,corymbose_non_Acropora_3_2_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Corymbose Non Acropora 3 2 Fecundity,
Coral,corymbose_non_Acropora_3_2_mb_rate,0.120599,continuous,Distributions.TriangularDist,"(0.1085391, 0.1326589, 0.120599)","(0.1085391, 0.1326589, 0.120599)",,0.1085391,0.1326589,false,Corymbose Non Acropora 3 2 Mb Rate,
Coral,corymbose_non_Acropora_3_2_dist_mean,4.03984,continuous,Distributions.TriangularDist,"(3.635856, 4.443824, 4.03984)","(3.635856, 4.443824, 4.03984)",,3.635856,4.443824,false,Corymbose Non Acropora 3 2 Dist Mean,
Coral,corymbose_non_Acropora_3_2_dist_std,3.474118416,continuous,Distributions.TriangularDist,"(3.1267065744, 3.8215302576000005, 3.474118416)","(3.1267065744, 3.8215302576000005, 3.474118416)",,3.1267065744,3.8215302576000005,false,Corymbose Non Acropora 3 2 Dist Std,
Coral,corymbose_non_Acropora_3_3_mean_colony_diameter_m,0.1625,continuous,Distributions.TriangularDist,"(0.14625000000000002, 0.17875000000000002, 0.1625)","(0.14625000000000002, 0.17875000000000002, 0.1625)",,0.14625000000000002,0.17875000000000002,false,Corymbose Non Acropora 3 3 Mean Colony Diameter M,
Coral,corymbose_non_Acropora_3_3_linear_extension,0.016142,continuous,Distributions.TriangularDist,"(0.0145278, 0.017756200000000003, 0.016142)","(0.0145278, 0.017756200000000003, 0.016142)",,0.0145278,0.017756200000000003,false,Corymbose Non Acropora 3 3 Linear Extension,
Coral,corymbose_non_Acropora_3_3_fecundity,1.7513046181460097e6,continuous,Distributions.TriangularDist,"(1.5761741563314088e6, 1.926435079960611e6, 1.7513046181460097e6)","(1.5761741563314088e6, 1.926435079960611e6, 1.7513046181460097e6)",,1.5761741563314088e6,1.926435079960611e6,false,Corymbose Non Acropora 3 3 Fecundity,
Coral,corymbose_non_Acropora_3_3_mb_rate,0.0784736,continuous,Distributions.TriangularDist,"(0.07062624, 0.08632096000000002, 0.0784736)","(0.07062624, 0.08632096000000002, 0.0784736)",,0.07062624,0.08632096000000002,false,Corymbose Non Acropora 3 3 Mb Rate,
Coral,corymbose_non_Acropora_3_3_dist_mean,4.06396,continuous,Distributions.TriangularDist,"(3.657564, 4.470356, 4.06396)","(3.657564, 4.470356, 4.06396)",,3.657564,4.470356,false,Corymbose Non Acropora 3 3 Dist Mean,
Coral,corymbose_non_Acropora_3_3_dist_std,3.474118416,continuous,Distributions.TriangularDist,"(3.1267065744, 3.8215302576000005, 3.474118416)","(3.1267065744, 3.8215302576000005, 3.474118416)",,3.1267065744,3.8215302576000005,false,Corymbose Non Acropora 3 3 Dist Std,
Coral,corymbose_non_Acropora_3_4_mean_colony_diameter_m,0.25,continuous,Distributions.TriangularDist,"(0.225, 0.275, 0.25)","(0.225, 0.275, 0.25)",,0.225,0.275,false,Corymbose Non Acropora 3 4 Mean Colony Diameter M,
Coral,corymbose_non_Acropora_3_4_linear_extension,0.0181973,continuous,Distributions.TriangularDist,"(0.01637757, 0.02001703, 0.0181973)","(0.01637757, 0.02001703, 0.0181973)",,0.01637757,0.02001703,false,Corymbose Non Acropora 3 4 Linear Extension,
Coral,corymbose_non_Acropora_3_4_fecundity,5.23072354247463e6,continuous,Distributions.TriangularDist,"(4.707651188227167e6, 5.753795896722094e6, 5.23072354247463e6)","(4.707651188227167e6, 5.753795896722094e6, 5.23072354247463e6)",,4.707651188227167e6,5.753795896722094e6,false,Corymbose Non Acropora 3 4 Fecundity,
Coral,corymbose_non_Acropora_3_4_mb_rate,0.0774731,continuous,Distributions.TriangularDist,"(0.06972579000000001, 0.08522041000000001, 0.0774731)","(0.06972579000000001, 0.08522041000000001, 0.0774731)",,0.06972579000000001,0.08522041000000001,false,Corymbose Non Acropora 3 4 Mb Rate,
Coral,corymbose_non_Acropora_3_4_dist_mean,4.01402,continuous,Distributions.TriangularDist,"(3.6126180000000003, 4.415422, 4.01402)","(3.6126180000000003, 4.415422, 4.01402)",,3.6126180000000003,4.415422,false,Corymbose Non Acropora 3 4 Dist Mean,
Coral,corymbose_non_Acropora_3_4_dist_std,3.474118416,continuous,Distributions.TriangularDist,"(3.1267065744, 3.8215302576000005, 3.474118416)","(3.1267065744, 3.8215302576000005, 3.474118416)",,3.1267065744,3.8215302576000005,false,Corymbose Non Acropora 3 4 Dist Std,
Coral,corymbose_non_Acropora_3_5_mean_colony_diameter_m,0.35000000000000003,continuous,Distributions.TriangularDist,"(0.31500000000000006, 0.38500000000000006, 0.35000000000000003)","(0.31500000000000006, 0.38500000000000006, 0.35000000000000003)",,0.31500000000000006,0.38500000000000006,false,Corymbose Non Acropora 3 5 Mean Colony Diameter M,
Coral,corymbose_non_Acropora_3_5_linear_extension,0.017826599999999998,continuous,Distributions.TriangularDist,"(0.01604394, 0.01960926, 0.017826599999999998)","(0.01604394, 0.01960926, 0.017826599999999998)",,0.01604394,0.01960926,false,Corymbose Non Acropora 3 5 Linear Extension,
Coral,corymbose_non_Acropora_3_5_fecundity,1.229495596552702e7,continuous,Distributions.TriangularDist,"(1.1065460368974319e7, 1.3524451562079724e7, 1.229495596552702e7)","(1.1065460368974319e7, 1.3524451562079724e7, 1.229495596552702e7)",,1.1065460368974319e7,1.3524451562079724e7,false,Corymbose Non Acropora 3 5 Fecundity,
Coral,corymbose_non_Acropora_3_5_mb_rate,0.0789747,continuous,Distributions.TriangularDist,"(0.07107722999999999, 0.08687217, 0.0789747)","(0.07107722999999999, 0.08687217, 0.0789747)",,0.07107722999999999,0.08687217,false,Corymbose Non Acropora 3 5 Mb Rate,
Coral,corymbose_non_Acropora_3_5_dist_mean,3.76394,continuous,Distributions.TriangularDist,"(3.387546, 4.140334, 3.76394)","(3.387546, 4.140334, 3.76394)",,3.387546,4.140334,false,Corymbose Non Acropora 3 5 Dist Mean,
Coral,corymbose_non_Acropora_3_5_dist_std,3.474118416,continuous,Distributions.TriangularDist,"(3.1267065744, 3.8215302576000005, 3.474118416)","(3.1267065744, 3.8215302576000005, 3.474118416)",,3.1267065744,3.8215302576000005,false,Corymbose Non Acropora 3 5 Dist Std,
Coral,corymbose_non_Acropora_3_6_mean_colony_diameter_m,0.45,continuous,Distributions.TriangularDist,"(0.405, 0.49500000000000005, 0.45)","(0.405, 0.49500000000000005, 0.45)",,0.405,0.49500000000000005,false,Corymbose Non Acropora 3 6 Mean Colony Diameter M,
Coral,corymbose_non_Acropora_3_6_linear_extension,0.0160711,continuous,Distributions.TriangularDist,"(0.014463990000000001, 0.017678210000000003, 0.0160711)","(0.014463990000000001, 0.017678210000000003, 0.0160711)",,0.014463990000000001,0.017678210000000003,false,Corymbose Non Acropora 3 6 Linear Extension,
Coral,corymbose_non_Acropora_3_6_fecundity,2.3278443065589875e7,continuous,Distributions.TriangularDist,"(2.095059875903089e7, 2.5606287372148864e7, 2.3278443065589875e7)","(2.095059875903089e7, 2.5606287372148864e7, 2.3278443065589875e7)",,2.095059875903089e7,2.5606287372148864e7,false,Corymbose Non Acropora 3 6 Fecundity,
Coral,corymbose_non_Acropora_3_6_mb_rate,0.0775685,continuous,Distributions.TriangularDist,"(0.06981165, 0.08532535000000001, 0.0775685)","(0.06981165, 0.08532535000000001, 0.0775685)",,0.06981165,0.08532535000000001,false,Corymbose Non Acropora 3 6 Mb Rate,
Coral,corymbose_non_Acropora_3_6_dist_mean,3.81475,continuous,Distributions.TriangularDist,"(3.433275, 4.196225, 3.81475)","(3.433275, 4.196225, 3.81475)",,3.433275,4.196225,false,Corymbose Non Acropora 3 6 Dist Mean,
Coral,corymbose_non_Acropora_3_6_dist_std,3.474118416,continuous,Distributions.TriangularDist,"(3.1267065744, 3.8215302576000005, 3.474118416)","(3.1267065744, 3.8215302576000005, 3.474118416)",,3.1267065744,3.8215302576000005,false,Corymbose Non Acropora 3 6 Dist Std,
Coral,corymbose_non_Acropora_3_7_mean_colony_diameter_m,0.55,continuous,Distributions.TriangularDist,"(0.49500000000000005, 0.6050000000000001, 0.55)","(0.49500000000000005, 0.6050000000000001, 0.55)",,0.49500000000000005,0.6050000000000001,false,Corymbose Non Acropora 3 7 Mean Colony Diameter M,
Coral,corymbose_non_Acropora_3_7_linear_extension,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Corymbose Non Acropora 3 7 Linear Extension,
Coral,corymbose_non_Acropora_3_7_fecundity,3.875389661207601e7,continuous,Distributions.TriangularDist,"(3.4878506950868405e7, 4.262928627328361e7, 3.875389661207601e7)","(3.4878506950868405e7, 4.262928627328361e7, 3.875389661207601e7)",,3.4878506950868405e7,4.262928627328361e7,false,Corymbose Non Acropora 3 7 Fecundity,
Coral,corymbose_non_Acropora_3_7_mb_rate,0.077262,continuous,Distributions.TriangularDist,"(0.0695358, 0.0849882, 0.077262)","(0.0695358, 0.0849882, 0.077262)",,0.0695358,0.0849882,false,Corymbose Non Acropora 3 7 Mb Rate,
Coral,corymbose_non_Acropora_3_7_dist_mean,4.00364,continuous,Distributions.TriangularDist,"(3.603276, 4.4040040000000005, 4.00364)","(3.603276, 4.4040040000000005, 4.00364)",,3.603276,4.4040040000000005,false,Corymbose Non Acropora 3 7 Dist Mean,
Coral,corymbose_non_Acropora_3_7_dist_std,3.474118416,continuous,Distributions.TriangularDist,"(3.1267065744, 3.8215302576000005, 3.474118416)","(3.1267065744, 3.8215302576000005, 3.474118416)",,3.1267065744,3.8215302576000005,false,Corymbose Non Acropora 3 7 Dist Std,
Coral,small_massives_4_1_mean_colony_diameter_m,0.0375,continuous,Distributions.TriangularDist,"(0.03375, 0.04125, 0.0375)","(0.03375, 0.04125, 0.0375)",,0.03375,0.04125,false,Small Massives 4 1 Mean Colony Diameter M,
Coral,small_massives_4_1_linear_extension,0.0127533,continuous,Distributions.TriangularDist,"(0.01147797, 0.014028630000000002, 0.0127533)","(0.01147797, 0.014028630000000002, 0.0127533)",,0.01147797,0.014028630000000002,false,Small Massives 4 1 Linear Extension,
Coral,small_massives_4_1_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Small Massives 4 1 Fecundity,
Coral,small_massives_4_1_mb_rate,0.219038,continuous,Distributions.TriangularDist,"(0.1971342, 0.24094180000000004, 0.219038)","(0.1971342, 0.24094180000000004, 0.219038)",,0.1971342,0.24094180000000004,false,Small Massives 4 1 Mb Rate,
Coral,small_massives_4_1_dist_mean,5.70734,continuous,Distributions.TriangularDist,"(5.1366060000000004, 6.278074000000001, 5.70734)","(5.1366060000000004, 6.278074000000001, 5.70734)",,5.1366060000000004,6.278074000000001,false,Small Massives 4 1 Dist Mean,
Coral,small_massives_4_1_dist_std,4.773419097,continuous,Distributions.TriangularDist,"(4.2960771873, 5.2507610067, 4.773419097)","(4.2960771873, 5.2507610067, 4.773419097)",,4.2960771873,5.2507610067,false,Small Massives 4 1 Dist Std,
Coral,small_massives_4_2_mean_colony_diameter_m,0.0625,continuous,Distributions.TriangularDist,"(0.05625, 0.06875, 0.0625)","(0.05625, 0.06875, 0.0625)",,0.05625,0.06875,false,Small Massives 4 2 Mean Colony Diameter M,
Coral,small_massives_4_2_linear_extension,0.00815496,continuous,Distributions.TriangularDist,"(0.0073394639999999995, 0.008970456, 0.00815496)","(0.0073394639999999995, 0.008970456, 0.00815496)",,0.0073394639999999995,0.008970456,false,Small Massives 4 2 Linear Extension,
Coral,small_massives_4_2_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Small Massives 4 2 Fecundity,
Coral,small_massives_4_2_mb_rate,0.0732543,continuous,Distributions.TriangularDist,"(0.06592887, 0.08057973, 0.0732543)","(0.06592887, 0.08057973, 0.0732543)",,0.06592887,0.08057973,false,Small Massives 4 2 Mb Rate,
Coral,small_massives_4_2_dist_mean,5.64845,continuous,Distributions.TriangularDist,"(5.083605, 6.213295000000001, 5.64845)","(5.083605, 6.213295000000001, 5.64845)",,5.083605,6.213295000000001,false,Small Massives 4 2 Dist Mean,
Coral,small_massives_4_2_dist_std,4.773419097,continuous,Distributions.TriangularDist,"(4.2960771873, 5.2507610067, 4.773419097)","(4.2960771873, 5.2507610067, 4.773419097)",,4.2960771873,5.2507610067,false,Small Massives 4 2 Dist Std,
Coral,small_massives_4_3_mean_colony_diameter_m,0.08750000000000001,continuous,Distributions.TriangularDist,"(0.07875000000000001, 0.09625000000000002, 0.08750000000000001)","(0.07875000000000001, 0.09625000000000002, 0.08750000000000001)",,0.07875000000000001,0.09625000000000002,false,Small Massives 4 3 Mean Colony Diameter M,
Coral,small_massives_4_3_linear_extension,0.00798983,continuous,Distributions.TriangularDist,"(0.007190847, 0.008788813000000001, 0.00798983)","(0.007190847, 0.008788813000000001, 0.00798983)",,0.007190847,0.008788813000000001,false,Small Massives 4 3 Linear Extension,
Coral,small_massives_4_3_fecundity,203287.51572374752,continuous,Distributions.TriangularDist,"(182958.76415137277, 223616.2672961223, 203287.51572374752)","(182958.76415137277, 223616.2672961223, 203287.51572374752)",,182958.76415137277,223616.2672961223,false,Small Massives 4 3 Fecundity,
Coral,small_massives_4_3_mb_rate,0.0403903,continuous,Distributions.TriangularDist,"(0.03635127, 0.04442933, 0.0403903)","(0.03635127, 0.04442933, 0.0403903)",,0.03635127,0.04442933,false,Small Massives 4 3 Mb Rate,
Coral,small_massives_4_3_dist_mean,5.39778,continuous,Distributions.TriangularDist,"(4.858002, 5.937558, 5.39778)","(4.858002, 5.937558, 5.39778)",,4.858002,5.937558,false,Small Massives 4 3 Dist Mean,
Coral,small_massives_4_3_dist_std,4.773419097,continuous,Distributions.TriangularDist,"(4.2960771873, 5.2507610067, 4.773419097)","(4.2960771873, 5.2507610067, 4.773419097)",,4.2960771873,5.2507610067,false,Small Massives 4 3 Dist Std,
Coral,small_massives_4_4_mean_colony_diameter_m,0.15,continuous,Distributions.TriangularDist,"(0.135, 0.165, 0.15)","(0.135, 0.165, 0.15)",,0.135,0.165,false,Small Massives 4 4 Mean Colony Diameter M,
Coral,small_massives_4_4_linear_extension,0.0100552,continuous,Distributions.TriangularDist,"(0.009049680000000001, 0.011060720000000001, 0.0100552)","(0.009049680000000001, 0.011060720000000001, 0.0100552)",,0.009049680000000001,0.011060720000000001,false,Small Massives 4 4 Linear Extension,
Coral,small_massives_4_4_fecundity,254932.76428211934,continuous,Distributions.TriangularDist,"(229439.48785390743, 280426.0407103313, 254932.76428211934)","(229439.48785390743, 280426.0407103313, 254932.76428211934)",,229439.48785390743,280426.0407103313,false,Small Massives 4 4 Fecundity,
Coral,small_massives_4_4_mb_rate,0.0241569,continuous,Distributions.TriangularDist,"(0.02174121, 0.02657259, 0.0241569)","(0.02174121, 0.02657259, 0.0241569)",,0.02174121,0.02657259,false,Small Massives 4 4 Mb Rate,
Coral,small_massives_4_4_dist_mean,5.72893,continuous,Distributions.TriangularDist,"(5.156037, 6.301823000000001, 5.72893)","(5.156037, 6.301823000000001, 5.72893)",,5.156037,6.301823000000001,false,Small Massives 4 4 Dist Mean,
